iterations	thousand
10019	0.1075
10029	0.1073
10039	0.1064
10049	0.1063
10059	0.1058
10069	0.1056
10079	0.1056
10089	0.1059
10099	0.1058
10109	0.106
10119	0.1058
10129	0.1048
10139	0.1052
10149	0.1049
10159	0.1049
10169	0.1049
10179	0.1052
10189	0.1051
10199	0.1045
10209	0.1045
10219	0.105
10229	0.1052
10239	0.105
10249	0.105
10259	0.1046
10269	0.1047
10279	0.1043
10289	0.1047
10299	0.1053
10309	0.1051
10319	0.1054
10329	0.1055
10339	0.1054
10349	0.1056
10359	0.1062
10369	0.1061
10379	0.1058
10389	0.1052
10399	0.1051
10409	0.1048
10419	0.1043
10429	0.104
10439	0.1037
10449	0.1035
10459	0.1034
10469	0.1027
10479	0.1027
10489	0.1024
10499	0.1037
10509	0.1035
10519	0.1029
10529	0.1028
10539	0.1028
10549	0.1024
10559	0.1025
10569	0.1022
10579	0.1025
10589	0.103
10599	0.1033
10609	0.1033
10619	0.1027
10629	0.1029
10639	0.1024
10649	0.1023
10659	0.1028
10669	0.1035
10679	0.104
10689	0.1048
10699	0.1048
10709	0.1044
10719	0.1044
10729	0.1045
10739	0.1051
10749	0.1051
10759	0.1052
10769	0.1059
10779	0.1057
10789	0.1062
10799	0.1068
10809	0.1063
10819	0.1062
10829	0.1069
10839	0.1071
10849	0.1072
10859	0.1054
10869	0.1054
10879	0.1057
10889	0.1055
10899	0.1055
10909	0.1056
10919	0.1057
10929	0.1061
10939	0.1063
10949	0.1065
10959	0.1057
10969	0.1057
10979	0.1054
10989	0.1054
10999	0.1059
11009	0.1053
11019	0.1057
11029	0.106
11039	0.1063
11049	0.1066
11059	0.1066
11069	0.1068
11079	0.1067
11089	0.1066
11099	0.1073
11109	0.1071
11119	0.1072
11129	0.1076
11139	0.1074
11149	0.1073
11159	0.1067
11169	0.1058
11179	0.1055
11189	0.1053
11199	0.1055
11209	0.1055
11219	0.1053
11229	0.1052
11239	0.1053
11249	0.1054
11259	0.1051
11269	0.105
11279	0.105
11289	0.1048
11299	0.1043
11309	0.1038
11319	0.1041
11329	0.1043
11339	0.1045
11349	0.1037
11359	0.1034
11369	0.1036
11379	0.1036
11389	0.1039
11399	0.1044
11409	0.1044
11419	0.1044
11429	0.1045
11439	0.1043
11449	0.1045
11459	0.1046
11469	0.1042
11479	0.104
11489	0.1038
11499	0.1029
11509	0.1028
11519	0.1031
11529	0.1027
11539	0.1032
11549	0.1032
11559	0.1031
11569	0.1026
11579	0.1023
11589	0.1015
11599	0.1018
11609	0.1021
11619	0.1026
11629	0.1027
11639	0.1033
11649	0.1033
11659	0.1025
11669	0.1025
11679	0.1022
11689	0.102
11699	0.102
11709	0.1018
11719	0.1024
11729	0.1019
11739	0.1015
11749	0.1018
11759	0.1025
11769	0.1018
11779	0.102
11789	0.1014
11799	0.1007
11809	0.1004
11819	0.1004
11829	0.0995
11839	0.0989
11849	0.0989
11859	0.0998
11869	0.1002
11879	0.0998
11889	0.0996
11899	0.0998
11909	0.0993
11919	0.0991
11929	0.0987
11939	0.0986
11949	0.0979
11959	0.0984
11969	0.0985
11979	0.0989
11989	0.0995
11999	0.099
12009	0.0996
12019	0.0992
12029	0.0986
12039	0.0983
12049	0.0979
12059	0.0982
12069	0.0979
12079	0.0983
12089	0.0985
12099	0.0989
12109	0.0995
12119	0.0997
12129	0.0997
12139	0.0996
12149	0.0997
12159	0.0999
12169	0.1009
12179	0.1011
12189	0.1011
12199	0.1008
12209	0.1009
12219	0.101
12229	0.1013
12239	0.1009
12249	0.1009
12259	0.1014
12269	0.1015
12279	0.1012
12289	0.1011
12299	0.1013
12309	0.1015
12319	0.1013
12329	0.1008
12339	0.1007
12349	0.101
12359	0.1008
12369	0.1008
12379	0.1009
12389	0.1012
